Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Medial temporal lobe viscoelasticity and relational memory performance.","/pubmed/26931816","Schwarb H, Johnson CL, McGarry MDJ, Cohen NJ.","Neuroimage. 2016 May 15;132:534-541. doi: 10.1016/j.neuroimage.2016.02.059. Epub 2016 Feb 27.","Neuroimage.  2016","PubMed","citation","PMID:26931816 | PMCID:PMC4970644","pubmed","26931816","create date:2016/03/05 | first author:Schwarb H",
"Mapping an index of the myelin g-ratio in infants using magnetic resonance imaging.","/pubmed/26908314","Dean DC 3rd, O'Muircheartaigh J, Dirks H, Travers BG, Adluru N, Alexander AL, Deoni SCL.","Neuroimage. 2016 May 15;132:225-237. doi: 10.1016/j.neuroimage.2016.02.040. Epub 2016 Feb 22.","Neuroimage.  2016","PubMed","citation","PMID:26908314 | PMCID:PMC4851913","pubmed","26908314","create date:2016/02/26 | first author:Dean DC 3rd",
"Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism.","/pubmed/27161151","Wang X, Bey AL, Katz BM, Badea A, Kim N, David LK, Duffney LJ, Kumar S, Mague SD, Hulbert SW, Dutta N, Hayrapetyan V, Yu C, Gaidis E, Zhao S, Ding JD, Xu Q, Chung L, Rodriguiz RM, Wang F, Weinberg RJ, Wetsel WC, et al.","Nat Commun. 2016 May 10;7:11459. doi: 10.1038/ncomms11459.","Nat Commun.  2016","PubMed","citation","PMID:27161151 | PMCID:PMC4866051","pubmed","27161151","create date:2016/05/11 | first author:Wang X",
"Brain imaging correlates of recovered swallowing after dysphagic stroke: A fMRI and DWI study.","/pubmed/27995067","Mihai PG, Otto M, Domin M, Platz T, Hamdy S, Lotze M.","Neuroimage Clin. 2016 May 10;12:1013-1021. eCollection 2016.","Neuroimage Clin.  2016","PubMed","citation","PMID:27995067 | PMCID:PMC5153603","pubmed","27995067","create date:2016/12/21 | first author:Mihai PG",
"White matter microstructure alterations in primary dysmenorrhea assessed by diffusion tensor imaging.","/pubmed/27161845","Liu P, Wang G, Liu Y, Yu Q, Yang F, Jin L, Sun J, Yang X, Qin W, Calhoun VD.","Sci Rep. 2016 May 10;6:25836. doi: 10.1038/srep25836.","Sci Rep.  2016","PubMed","citation","PMID:27161845 | PMCID:PMC4861968","pubmed","27161845","create date:2016/05/11 | first author:Liu P",
"Association of the Fractal Dimension of Retinal Arteries and Veins with Quantitative Brain MRI Measures in HIV-Infected and Uninfected Women.","/pubmed/27158911","Crystal HA, Holman S, Lui YW, Baird AE, Yu H, Klein R, Rojas-Soto DM, Gustafson DR, Stebbins GT.","PLoS One. 2016 May 9;11(5):e0154858. doi: 10.1371/journal.pone.0154858. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27158911 | PMCID:PMC4861324","pubmed","27158911","create date:2016/05/10 | first author:Crystal HA",
"Combined (18)F-FDG-PET and diffusion tensor imaging in mesial temporal lobe epilepsy with hippocampal sclerosis.","/pubmed/27995064","Aparicio J, Carreño M, Bargalló N, Setoain X, Rubí S, Rumià J, Falcón C, Calvo A, Martí-Fuster B, Padilla N, Boget T, Pintor L, Donaire A.","Neuroimage Clin. 2016 May 6;12:976-989. eCollection 2016.","Neuroimage Clin.  2016","PubMed","citation","PMID:27995064 | PMCID:PMC5153605","pubmed","27995064","create date:2016/12/21 | first author:Aparicio J",
"White and gray matter fiber pathways in autism spectrum disorder revealed by ex vivo diffusion MR tractography.","/pubmed/27247853","Wilkinson M, Wang R, van der Kouwe A, Takahashi E.","Brain Behav. 2016 May 5;6(7):e00483. doi: 10.1002/brb3.483. eCollection 2016 Jul.","Brain Behav.  2016","PubMed","citation","PMID:27247853 | PMCID:PMC4864276","pubmed","27247853","create date:2016/06/02 | first author:Wilkinson M",
"White Matter Changes in Posttraumatic Stress Disorder Following Mild Traumatic Brain Injury: A Prospective Longitudinal Diffusion Tensor Imaging Study.","/pubmed/27098796","Li L, Sun G, Liu K, Li M, Li B, Qian SW, Yu LL.","Chin Med J (Engl). 2016 May 5;129(9):1091-9. doi: 10.4103/0366-6999.180518.","Chin Med J (Engl).  2016","PubMed","citation","PMID:27098796 | PMCID:PMC4852678","pubmed","27098796","create date:2016/04/22 | first author:Li L",
"Comparison of Diffusion Tensor Imaging and Magnetic Resonance Perfusion Imaging in Differentiating Recurrent Brain Neoplasm From Radiation Necrosis.","/pubmed/26916251","Masch WR, Wang PI, Chenevert TL, Junck L, Tsien C, Heth JA, Sundgren PC.","Acad Radiol. 2016 May;23(5):569-76. doi: 10.1016/j.acra.2015.11.015. Epub 2016 Feb 23.","Acad Radiol.  2016","PubMed","citation","PMID:26916251 | PMCID:PMC4836992","pubmed","26916251","create date:2016/02/27 | first author:Masch WR",
"White matter connectivity and Internet gaming disorder.","/pubmed/25899390","Jeong BS, Han DH, Kim SM, Lee SW, Renshaw PF.","Addict Biol. 2016 May;21(3):732-42. doi: 10.1111/adb.12246. Epub 2015 Apr 20.","Addict Biol.  2016","PubMed","citation","PMID:25899390 | PMCID:PMC5609481","pubmed","25899390","create date:2015/04/23 | first author:Jeong BS",
"Cerebral Reorganization after Hemispherectomy: A DTI Study.","/pubmed/26767710","Meoded A, Faria AV, Hartman AL, Jallo GI, Mori S, Johnston MV, Huisman TA, Poretti A.","AJNR Am J Neuroradiol. 2016 May;37(5):924-31. doi: 10.3174/ajnr.A4647. Epub 2016 Jan 14.","AJNR Am J Neuroradiol.  2016","PubMed","citation","PMID:26767710","pubmed","26767710","create date:2016/01/16 | first author:Meoded A",
"Glial and axonal changes in systemic lupus erythematosus measured with diffusion of intracellular metabolites.","/pubmed/26969685","Ercan E, Magro-Checa C, Valabregue R, Branzoli F, Wood ET, Steup-Beekman GM, Webb AG, Huizinga TW, van Buchem MA, Ronen I.","Brain. 2016 May;139(Pt 5):1447-57. doi: 10.1093/brain/aww031. Epub 2016 Mar 11.","Brain.  2016","PubMed","citation","PMID:26969685 | PMCID:PMC5006250","pubmed","26969685","create date:2016/03/13 | first author:Ercan E",
"A Mapping Between Structural and Functional Brain Networks.","/pubmed/26860437","Meier J, Tewarie P, Hillebrand A, Douw L, van Dijk BW, Stufflebeam SM, Van Mieghem P.","Brain Connect. 2016 May;6(4):298-311. doi: 10.1089/brain.2015.0408. Epub 2016 Mar 29.","Brain Connect.  2016","PubMed","citation","PMID:26860437 | PMCID:PMC4939447","pubmed","26860437","create date:2016/02/11 | first author:Meier J",
"Atypical Structural Connectome Organization and Cognitive Impairment in Young Survivors of Acute Lymphoblastic Leukemia.","/pubmed/26850738","Kesler SR, Gugel M, Huston-Warren E, Watson C.","Brain Connect. 2016 May;6(4):273-82. doi: 10.1089/brain.2015.0409. Epub 2016 Mar 29.","Brain Connect.  2016","PubMed","citation","PMID:26850738 | PMCID:PMC4876554","pubmed","26850738","create date:2016/02/07 | first author:Kesler SR",
"Altered Structural Brain Networks in Tuberous Sclerosis Complex.","/pubmed/25750257","Im K, Ahtam B, Haehn D, Peters JM, Warfield SK, Sahin M, Ellen Grant P.","Cereb Cortex. 2016 May;26(5):2046-58. doi: 10.1093/cercor/bhv026. Epub 2015 Mar 5.","Cereb Cortex.  2016","PubMed","citation","PMID:25750257 | PMCID:PMC4830286","pubmed","25750257","create date:2015/03/10 | first author:Im K",
"Testosterone affects language areas of the adult human brain.","/pubmed/26876303","Hahn A, Kranz GS, Sladky R, Kaufmann U, Ganger S, Hummer A, Seiger R, Spies M, Vanicek T, Winkler D, Kasper S, Windischberger C, Swaab DF, Lanzenberger R.","Hum Brain Mapp. 2016 May;37(5):1738-48. doi: 10.1002/hbm.23133. Epub 2016 Feb 15.","Hum Brain Mapp.  2016","PubMed","citation","PMID:26876303 | PMCID:PMC4949561","pubmed","26876303","create date:2016/02/16 | first author:Hahn A",
"Development of human white matter fiber pathways: From newborn to adult ages.","/pubmed/26948153","Cohen AH, Wang R, Wilkinson M, MacDonald P, Lim AR, Takahashi E.","Int J Dev Neurosci. 2016 May;50:26-38. doi: 10.1016/j.ijdevneu.2016.02.002. Epub 2016 Mar 15.","Int J Dev Neurosci.  2016","PubMed","citation","PMID:26948153 | PMCID:PMC5089705","pubmed","26948153","create date:2016/03/08 | first author:Cohen AH",
"Gadolinium-Enhancing Lesions Lead to Decreases in White Matter Tract Fractional Anisotropy in Multiple Sclerosis.","/pubmed/26458494","Chiang GC, Pinto S, Comunale JP, Gauthier SA.","J Neuroimaging. 2016 May;26(3):289-95. doi: 10.1111/jon.12309. Epub 2015 Oct 13.","J Neuroimaging.  2016","PubMed","citation","PMID:26458494 | PMCID:PMC4833697","pubmed","26458494","create date:2015/10/16 | first author:Chiang GC",
"Imaging signatures of meningioma and low-grade glioma: a diffusion tensor, magnetization transfer and quantitative longitudinal relaxation time MRI study.","/pubmed/26708035","Piper RJ, Mikhael S, Wardlaw JM, Laidlaw DH, Whittle IR, Bastin ME.","Magn Reson Imaging. 2016 May;34(4):596-602. doi: 10.1016/j.mri.2015.12.006. Epub 2015 Dec 17.","Magn Reson Imaging.  2016","PubMed","citation","PMID:26708035 | PMCID:PMC4801649","pubmed","26708035","create date:2015/12/29 | first author:Piper RJ",
"Ultrahigh field single-refocused diffusion weighted imaging using a matched-phase adiabatic spin echo (MASE).","/pubmed/26041650","Dyvorne H, O'Halloran R, Balchandani P.","Magn Reson Med. 2016 May;75(5):1949-57. doi: 10.1002/mrm.25790. Epub 2015 Jun 4.","Magn Reson Med.  2016","PubMed","citation","PMID:26041650 | PMCID:PMC4670296","pubmed","26041650","create date:2015/06/05 | first author:Dyvorne H",
"Sonolysis in Prevention of Brain Infarction During Cardiac Surgery (SONORESCUE): Randomized, Controlled Trial.","/pubmed/27196464","Školoudík D, Hurtíková E, Brát R, Herzig R; SONORESCUE Trial Group..","Medicine (Baltimore). 2016 May;95(20):e3615. doi: 10.1097/MD.0000000000003615.","Medicine (Baltimore).  2016","PubMed","citation","PMID:27196464 | PMCID:PMC4902406","pubmed","27196464","create date:2016/05/20 | first author:Školoudík D",
"Transient Global Amnesia After Cerebral Angiography With Iomeprol: A Case Report.","/pubmed/27175660","Tiu C, Terecoasă EO, Grecu N, Dorobăţ B, Marinescu AN, Băjenaru OA.","Medicine (Baltimore). 2016 May;95(19):e3590. doi: 10.1097/MD.0000000000003590.","Medicine (Baltimore).  2016","PubMed","citation","PMID:27175660 | PMCID:PMC4902502","pubmed","27175660","create date:2016/05/14 | first author:Tiu C",
"White matter and memory in healthy adults: Coupled changes over two years.","/pubmed/26545457","Bender AR, Prindle JJ, Brandmaier AM, Raz N.","Neuroimage. 2016 May 1;131:193-204. doi: 10.1016/j.neuroimage.2015.10.085. Epub 2015 Nov 3.","Neuroimage.  2016","PubMed","citation","PMID:26545457 | PMCID:PMC4848116","pubmed","26545457","create date:2015/11/08 | first author:Bender AR",
"Brains of verbal memory specialists show anatomical differences in language, memory and visual systems.","/pubmed/26188261","Hartzell JF, Davis B, Melcher D, Miceli G, Jovicich J, Nath T, Singh NC, Hasson U.","Neuroimage. 2016 May 1;131:181-92. doi: 10.1016/j.neuroimage.2015.07.027. Epub 2015 Jul 15.","Neuroimage.  2016","PubMed","citation","PMID:26188261","pubmed","26188261","create date:2015/07/19 | first author:Hartzell JF",
"Cognitive and connectome properties detectable through individual differences in graphomotor organization.","/pubmed/27037044","Lamar M, Ajilore O, Leow A, Charlton R, Cohen J, GadElkarim J, Yang S, Zhang A, Davis R, Penney D, Libon DJ, Kumar A.","Neuropsychologia. 2016 May;85:301-9. doi: 10.1016/j.neuropsychologia.2016.03.034. Epub 2016 Mar 30.","Neuropsychologia.  2016","PubMed","citation","PMID:27037044 | PMCID:PMC4853274","pubmed","27037044","create date:2016/04/03 | first author:Lamar M",
"Neuroanatomical substrates of executive functions: Beyond prefrontal structures.","/pubmed/26948072","Bettcher BM, Mungas D, Patel N, Elofson J, Dutt S, Wynn M, Watson CL, Stephens M, Walsh CM, Kramer JH.","Neuropsychologia. 2016 May;85:100-9. doi: 10.1016/j.neuropsychologia.2016.03.001. Epub 2016 Mar 3.","Neuropsychologia.  2016","PubMed","citation","PMID:26948072 | PMCID:PMC4853308","pubmed","26948072","create date:2016/03/08 | first author:Bettcher BM",
"Gray matter integrity within regions of the dorsolateral prefrontal cortical-subcortical network predicts executive function and fine motor dexterity in spina bifida.","/pubmed/26752120","Ware AL, Kulesz PA, Williams VJ, Juranek J, Cirino PT, Fletcher JM.","Neuropsychology. 2016 May;30(4):492-501. doi: 10.1037/neu0000266. Epub 2016 Jan 11.","Neuropsychology.  2016","PubMed","citation","PMID:26752120 | PMCID:PMC4840030","pubmed","26752120","create date:2016/01/12 | first author:Ware AL",
"Usefulness of the apparent diffusion coefficient for the evaluation of the white matter to differentiate between glioblastoma and brain metastases.","/pubmed/26655126","Miquelini LA, Pérez Akly MS, Funes JA, Besada CH.","Radiologia. 2016 May-Jun;58(3):207-13. doi: 10.1016/j.rx.2015.10.004. Epub 2015 Dec 1. English, Spanish. ","Radiologia.  2016","PubMed","citation","PMID:26655126","pubmed","26655126","create date:2015/12/15 | first author:Miquelini LA",
"Tractography Analysis of 5 White Matter Bundles and Their Clinical and Cognitive Correlates in Early-Course Schizophrenia.","/pubmed/27009248","Seitz J, Zuo JX, Lyall AE, Makris N, Kikinis Z, Bouix S, Pasternak O, Fredman E, Duskin J, Goldstein JM, Petryshen TL, Mesholam-Gately RI, Wojcik J, McCarley RW, Seidman LJ, Shenton ME, Koerte IK, Kubicki M.","Schizophr Bull. 2016 May;42(3):762-71. doi: 10.1093/schbul/sbv171. Epub 2016 Mar 23.","Schizophr Bull.  2016","PubMed","citation","PMID:27009248 | PMCID:PMC4838095","pubmed","27009248","create date:2016/03/25 | first author:Seitz J",
"Structural Brain Network Disturbances in the Psychosis Spectrum.","/pubmed/26644605","van Dellen E, Bohlken MM, Draaisma L, Tewarie PK, van Lutterveld R, Mandl R, Stam CJ, Sommer IE.","Schizophr Bull. 2016 May;42(3):782-9. doi: 10.1093/schbul/sbv178. Epub 2015 Dec 6.","Schizophr Bull.  2016","PubMed","citation","PMID:26644605 | PMCID:PMC4838099","pubmed","26644605","create date:2015/12/09 | first author:van Dellen E",
"Neural connections foster social connections: a diffusion-weighted imaging study of social networks.","/pubmed/26755769","Hampton WH, Unger A, Von Der Heide RJ, Olson IR.","Soc Cogn Affect Neurosci. 2016 May;11(5):721-7. doi: 10.1093/scan/nsv153. Epub 2016 Jan 10.","Soc Cogn Affect Neurosci.  2016","PubMed","citation","PMID:26755769 | PMCID:PMC4847692","pubmed","26755769","create date:2016/01/13 | first author:Hampton WH",
"Region-specific reductions in brain apparent diffusion coefficient in cytomegalovirus-infected fetuses.","/pubmed/25412951","Yaniv G, Hoffmann C, Weisz B, Lipitz S, Katorza E, Kidron D, Bergman D, Biegon A.","Ultrasound Obstet Gynecol. 2016 May;47(5):600-7. doi: 10.1002/uog.14737.","Ultrasound Obstet Gynecol.  2016","PubMed","citation","PMID:25412951","pubmed","25412951","create date:2014/11/22 | first author:Yaniv G",
"Airborne copper exposure in school environments associated with poorer motor performance and altered basal ganglia.","/pubmed/27134768","Pujol J, Fenoll R, Macià D, Martínez-Vilavella G, Alvarez-Pedrerol M, Rivas I, Forns J, Deus J, Blanco-Hinojo L, Querol X, Sunyer J.","Brain Behav. 2016 Apr 22;6(6):e00467. doi: 10.1002/brb3.467. eCollection 2016 Jun.","Brain Behav.  2016","PubMed","citation","PMID:27134768 | PMCID:PMC4842931","pubmed","27134768","create date:2016/05/03 | first author:Pujol J",
"Initial Application of Diffusional Kurtosis Imaging in Evaluating Brain Development of Healthy Preterm Infants.","/pubmed/27101246","Shi J, Chang L, Wang J, Zhang S, Yao Y, Zhang S, Jiang R, Guo L, Guan H, Zhu W.","PLoS One. 2016 Apr 21;11(4):e0154146. doi: 10.1371/journal.pone.0154146. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27101246 | PMCID:PMC4839617","pubmed","27101246","create date:2016/04/23 | first author:Shi J",
"Diffusion Tensor Imaging Provides Evidence of Possible Axonal Overconnectivity in Frontal Lobes in Autism Spectrum Disorder Toddlers.","/pubmed/26300272","Solso S, Xu R, Proudfoot J, Hagler DJ Jr, Campbell K, Venkatraman V, Carter Barnes C, Ahrens-Barbeau C, Pierce K, Dale A, Eyler L, Courchesne E.","Biol Psychiatry. 2016 Apr 15;79(8):676-84. doi: 10.1016/j.biopsych.2015.06.029. Epub 2015 Jul 4.","Biol Psychiatry.  2016","PubMed","citation","PMID:26300272 | PMCID:PMC4699869","pubmed","26300272","create date:2015/08/25 | first author:Solso S",
"Financial literacy is associated with white matter integrity in old age.","/pubmed/26899784","Han SD, Boyle PA, Arfanakis K, Fleischman D, Yu L, James BD, Bennett DA.","Neuroimage. 2016 Apr 15;130:223-229. doi: 10.1016/j.neuroimage.2016.02.030. Epub 2016 Feb 17.","Neuroimage.  2016","PubMed","citation","PMID:26899784 | PMCID:PMC4808430","pubmed","26899784","create date:2016/02/24 | first author:Han SD",
"Harmonizing DTI measurements across scanners to examine the development of white matter microstructure in 803 adolescents of the NCANDA study.","/pubmed/26872408","Pohl KM, Sullivan EV, Rohlfing T, Chu W, Kwon D, Nichols BN, Zhang Y, Brown SA, Tapert SF, Cummins K, Thompson WK, Brumback T, Colrain IM, Baker FC, Prouty D, De Bellis MD, Voyvodic JT, Clark DB, Schirda C, Nagel BJ, Pfefferbaum A.","Neuroimage. 2016 Apr 15;130:194-213. doi: 10.1016/j.neuroimage.2016.01.061. Epub 2016 Feb 10.","Neuroimage.  2016","PubMed","citation","PMID:26872408 | PMCID:PMC4808415","pubmed","26872408","create date:2016/02/14 | first author:Pohl KM",
"Including diffusion time dependence in the extra-axonal space improves in vivo estimates of axonal diameter and density in human white matter.","/pubmed/26826514","De Santis S, Jones DK, Roebroeck A.","Neuroimage. 2016 Apr 15;130:91-103. doi: 10.1016/j.neuroimage.2016.01.047. Epub 2016 Jan 27.","Neuroimage.  2016","PubMed","citation","PMID:26826514 | PMCID:PMC4819719","pubmed","26826514","create date:2016/01/31 | first author:De Santis S",
"Limited microstructural and connectivity deficits despite subcortical volume reductions in school-aged children born preterm with very low birth weight.","/pubmed/26712340","Sølsnes AE, Sripada K, Yendiki A, Bjuland KJ, Østgård HF, Aanes S, Grunewaldt KH, Løhaugen GC, Eikenes L, Håberg AK, Rimol LM, Skranes J.","Neuroimage. 2016 Apr 15;130:24-34. doi: 10.1016/j.neuroimage.2015.12.029. Epub 2015 Dec 20.","Neuroimage.  2016","PubMed","citation","PMID:26712340","pubmed","26712340","create date:2015/12/30 | first author:Sølsnes AE",
"NODDI and Tensor-Based Microstructural Indices as Predictors of Functional Connectivity.","/pubmed/27078862","Deligianni F, Carmichael DW, Zhang GH, Clark CA, Clayden JD.","PLoS One. 2016 Apr 14;11(4):e0153404. doi: 10.1371/journal.pone.0153404. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27078862 | PMCID:PMC4831788","pubmed","27078862","create date:2016/04/15 | first author:Deligianni F",
